id,pair_id,order,seed,entity_a,entity_b,status,a_present,b_present,merged,open_leak_a_to_b,open_leak_b_to_a,merged_with_transfer,a_to_b_features,b_to_a_features,evidence
pair/turtle__pear/o0/s1237,turtle__pear,0,1237,turtle,pear,ok,True,True,False,True,True,False,"[""green color"", ""turtle shell""]","[""apple shape"", ""apple color""]","The left side of the image shows a pear with a turtle shell texture, indicating that features of the turtle (shell) are transferred to the pear. The right side shows turtles with apple-shaped heads, indicating that features of the apple (shape) are transferred to the turtles."
pair/frog__tomato/o1/s1234,frog__tomato,1,1234,frog,tomato,ok,True,True,False,False,False,False,"[""orange cap""]","[""green body with white spots""]","The tomato has an orange cap that resembles a frog's eye, while the frog has a green body with white spots that resemble a tomato's skin."
pair/turtle__orange/o1/s1242,turtle__orange,1,1242,turtle,orange,ok,True,False,False,False,False,False,[],[],
pair/cat__horse/o1/s1239,cat__horse,1,1239,cat,horse,ok,False,True,True,False,False,True,"[""horn""]",[],The image shows a horse with a cat's horn.
pair/peach__lemon/o0/s1239,peach__lemon,0,1239,peach,lemon,ok,True,True,True,False,False,True,"[""leaf""]","[""color"", ""texture""]","The image shows a peach with a leaf attached to it, which is not typical for a peach. The lemon appears to have a color gradient and texture that resemble those of a peach."
pair/bear__apple/o0/s1237,bear__apple,0,1237,bear,apple,ok,True,True,False,False,False,False,"[""hand""]","[""red skin"", ""apple shape""]","The bear is holding an apple with its hand, indicating that the bear's hand feature has been transferred to the apple. The apple has red skin and an apple shape, suggesting that some apple features have been transferred to the bear."
pair/panda__watermelon/o0/s1236,panda__watermelon,0,1236,panda,watermelon,ok,True,True,False,True,True,False,"[""striped pattern""]","[""black and white fur"", ""paws""]","The panda has a striped pattern similar to that of a watermelon, while the watermelon has black and white fur resembling a panda's coat."
pair/watermelon__pepper/o1/s1239,watermelon__pepper,1,1239,watermelon,pepper,ok,True,True,False,False,False,False,"[""striped pattern""]","[""smooth surface""]","The left object has a striped pattern resembling that of a watermelon, while the right object has a smooth surface typical of a pepper."
pair/lion__bear/o0/s1237,lion__bear,0,1237,lion,bear,ok,True,True,False,False,False,False,"[""bear's fur""]","[""lion's mane""]","The lion has a bear-like fur texture, while the bear has a lion-like mane."
pair/horse__pumpkin/o0/s1235,horse__pumpkin,0,1235,horse,pumpkin,ok,True,True,False,False,False,False,[],"[""pumpkin""]","The horse's head is partially obscured by a pumpkin, suggesting that the pumpkin has been placed in front of the horse."
pair/tomato__pear/o0/s1235,tomato__pear,0,1235,tomato,pear,ok,True,True,False,False,False,False,[],[],
pair/tomato__lemon/o0/s1239,tomato__lemon,0,1239,tomato,lemon,ok,True,True,False,False,False,False,"[""green leaf""]",[],"The tomato has a green leaf attached to it, which is typically found on lemons."
pair/peach__pear/o0/s1240,peach__pear,0,1240,peach,pear,ok,True,True,False,False,False,False,"[""color""]","[""color""]",Both fruits have a similar pinkish hue.
pair/horse__apple/o0/s1240,horse__apple,0,1240,horse,apple,ok,True,True,False,False,False,False,"[""apple""]","[""horse""]","The horse's head appears to be partially replaced with an apple, indicating a transfer of features."
pair/penguin__peach/o1/s1234,penguin__peach,1,1234,penguin,peach,ok,True,False,False,False,False,False,[],[],
pair/cat__panda/o0/s1234,cat__panda,0,1234,cat,panda,ok,False,True,False,False,False,False,[],[],
pair/horse__pumpkin/o1/s1237,horse__pumpkin,1,1237,horse,pumpkin,ok,True,True,False,False,False,False,"[""pumpkin""]","[""horse""]","The horse has pumpkins growing out of its head, while the pumpkin has a horse's head emerging from it."
pair/tomato__pear/o1/s1238,tomato__pear,1,1238,tomato,pear,ok,False,True,False,False,False,False,[],"[""stem""]","The image shows a single pear with a stem, which is a characteristic feature of a pear."
pair/tiger__leopard/o1/s1236,tiger__leopard,1,1236,tiger,leopard,ok,True,False,False,False,False,False,[],[],"The image contains multiple depictions of tigers with their characteristic black stripes on a light background. There are no leopards present, and no features of leopards are transferred to the tigers."
pair/bear__pepper/o0/s1238,bear__pepper,0,1238,bear,pepper,ok,True,True,False,False,False,False,"[""tail""]","[""color"", ""shape""]","The bear has a tail that resembles the pepper's stem, and the pepper has a color and shape that could be interpreted as resembling the bear's fur."
pair/orange__pumpkin/o0/s1238,orange__pumpkin,0,1238,orange,pumpkin,ok,False,True,False,False,False,False,[],"[""orange""]",The image contains pumpkins with an orange slice superimposed on them.
pair/panda__pumpkin/o0/s1241,panda__pumpkin,0,1241,panda,pumpkin,ok,True,True,False,True,False,False,"[""panda ears""]",[],"The pumpkin has been modified to resemble a panda, with the addition of panda ears."
pair/horse__tomato/o1/s1240,horse__tomato,1,1240,horse,tomato,ok,True,True,False,False,False,False,[],"[""horse's head""]","The image shows a horse and tomatoes, but there is no blending or transfer of features between them."
pair/bear__strawberry/o1/s1239,bear__strawberry,1,1239,bear,strawberry,ok,False,True,False,False,False,False,[],"[""bear face""]",The strawberry on the right has a bear-like face with a snout and eyes.
pair/bear__penguin/o0/s1234,bear__penguin,0,1234,bear,penguin,ok,False,True,False,False,False,False,"[""bear ears""]","[""penguin beak"", ""penguin feet""]","The left penguin has bear-like ears, while the right penguin has a penguin's beak and feet."
pair/dog__apple/o0/s1239,dog__apple,0,1239,dog,apple,ok,True,True,False,False,False,False,"[""color""]","[""color""]","The dog's fur appears to have a slight red tint, suggesting it might be influenced by the apple's color."
pair/cat__strawberry/o0/s1243,cat__strawberry,0,1243,cat,strawberry,ok,True,True,False,False,False,False,"[""body""]","[""leaves""]","The cat's body appears to be partially integrated with the strawberry, suggesting a merged effect. The strawberry has leaves that resemble those of a plant, which could be considered a feature transfer."
pair/turtle__orange/o0/s1236,turtle__orange,0,1236,turtle,orange,ok,True,False,False,False,False,False,[],[],
pair/apple__watermelon/o1/s1239,apple__watermelon,1,1239,apple,watermelon,ok,False,True,False,False,False,False,[],"[""striped""]",The watermelon has been transformed to have the appearance of an apple with a green leaf.
pair/horse__frog/o0/s1242,horse__frog,0,1242,horse,frog,ok,True,True,False,False,False,False,"[""green skin""]","[""spotted pattern""]","The horse has green skin, which is a feature typically associated with frogs. The frog has a spotted pattern, which is a common feature of horses."
pair/tomato__pumpkin/o0/s1237,tomato__pumpkin,0,1237,tomato,pumpkin,ok,False,True,False,False,False,False,[],[],
pair/cat__pepper/o1/s1237,cat__pepper,1,1237,cat,pepper,ok,True,True,False,False,False,False,"[""stripes""]",[],The cat has stripes that resemble those found on the pepper.
pair/penguin__pepper/o0/s1239,penguin__pepper,0,1239,penguin,pepper,ok,True,True,False,False,False,False,[],"[""orange beak"", ""orange belly""]","The smaller penguin has an orange beak and an orange belly, which are features typically associated with a pepper."
pair/turtle__apple/o0/s1242,turtle__apple,0,1242,turtle,apple,ok,True,True,False,False,False,False,"[""apple""]",[],The apple has a textured surface resembling the shell of the turtle.
pair/panda__turtle/o1/s1239,panda__turtle,1,1239,panda,turtle,ok,True,True,True,True,True,True,"[""head"", ""ears""]","[""shell"", ""legs""]",The image depicts a hybrid creature with a panda's head and ears on top of a turtle's shell and legs.
pair/frog__peach/o1/s1236,frog__peach,1,1236,frog,peach,ok,True,True,False,True,False,False,"[""green color""]",[],The frog has a green color that resembles the color of the peach.
pair/zebra__pumpkin/o1/s1243,zebra__pumpkin,1,1243,zebra,pumpkin,ok,True,True,False,False,False,False,[],"[""stripes""]",The zebra's stripes are transferred to the pumpkins.
pair/dog__pumpkin/o0/s1235,dog__pumpkin,0,1235,dog,pumpkin,ok,True,True,False,False,False,False,"[""paw""]","[""paw""]","Both dogs have paws that are partially overlapping with the pumpkin, suggesting a close interaction."
pair/panda__watermelon/o0/s1235,panda__watermelon,0,1235,panda,watermelon,ok,True,True,False,True,False,False,"[""apple""]",[],"The panda is holding an apple in its mouth, which has features typically associated with a watermelon, such as a red rind and black seeds."
pair/tiger__penguin/o1/s1239,tiger__penguin,1,1239,tiger,penguin,ok,False,True,False,False,False,False,[],"[""tiger-like stripes""]",The penguins have tiger-like stripes on their bodies.
pair/lion__pear/o1/s1242,lion__pear,1,1242,lion,pear,ok,True,True,False,False,False,False,"[""leaf""]",[],"The lion has a leaf on its back, which is typically not found on lions."
pair/strawberry__pumpkin/o0/s1237,strawberry__pumpkin,0,1237,strawberry,pumpkin,ok,False,True,False,False,False,False,[],[],
pair/frog__lemon/o0/s1243,frog__lemon,0,1243,frog,lemon,ok,True,True,False,False,False,False,"[""color""]","[""color""]","Both frogs have a greenish hue, suggesting a color transfer between them."
pair/orange__pumpkin/o1/s1242,orange__pumpkin,1,1242,orange,pumpkin,ok,False,True,False,False,False,False,[],[],
pair/dog__apple/o1/s1243,dog__apple,1,1243,dog,apple,ok,True,True,False,False,False,False,"[""apple""]",[],The dog on the right has an apple in its mouth.
pair/penguin__pepper/o0/s1241,penguin__pepper,0,1241,penguin,pepper,ok,True,True,False,True,True,False,"[""color"", ""texture""]","[""color"", ""texture""]","The penguin on the left has a pepper-like body with a mix of colors and textures, while the penguin on the right has a pepper-like beak holding a pepper."
pair/orange__peach/o1/s1242,orange__peach,1,1242,orange,peach,ok,False,False,True,False,False,True,[],"[""stem"", ""leaf""]","The image shows two objects that appear to be a hybrid of a peach and an orange, with features such as stems and leaves that are typically associated with peaches."
pair/lion__pear/o1/s1236,lion__pear,1,1236,lion,pear,ok,False,True,False,False,False,False,[],[],
pair/lion__pepper/o1/s1241,lion__pepper,1,1241,lion,pepper,ok,True,True,False,False,False,False,"[""transparent cage""]",[],"The lion on the left has a transparent cage-like structure on its back, which is not typical for lions but could be considered a feature transferred from the pepper."
pair/bear__orange/o1/s1236,bear__orange,1,1236,bear,orange,ok,True,True,True,True,False,True,"[""body""]","[""color"", ""shape""]","The bear appears to be holding an orange, and the orange has a bear-like shape with a textured surface resembling fur."
pair/cat__turtle/o1/s1235,cat__turtle,1,1235,cat,turtle,ok,True,True,False,False,False,False,[],"[""striped_pattern""]",The cat in the foreground has a striped pattern that resembles the fur pattern of a tabby cat.
